year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,state_government
1989,NV,Nevada,1111000,6947,91,662,0,2784,3410,62732,15607,40686,6439,D
1990,NV,Nevada,1201833,7222,116,748,0,2864,3494,65652,16434,42097,7121,D
1991,NV,Nevada,1284000,8693,152,848,0,4012,3681,72183,18026,45781,8376,D
1992,NV,Nevada,1327000,9247,145,833,0,4397,3872,73077,17108,46714,9255,D
1993,NV,Nevada,1389000,12157,144,846,0,4724,6443,73685,17293,46137,10255,D
1994,NV,Nevada,1457000,14597,170,1001,0,5134,8292,82693,19735,51893,11065,D
1995,NV,Nevada,1530000,14461,163,937,0,4966,8395,86203,20235,54563,11405,D
1996,NV,Nevada,1603000,13005,220,856,0,4931,6998,83047,19558,52295,11194,D
1997,NV,Nevada,1677000,13395,187,1005,0,5071,7132,88307,21975,53112,13220,D
1998,NV,Nevada,1747000,11244,170,911,0,4453,5710,81006,19873,47367,13766,D
1999,NV,Nevada,1809253,10311,165,943,0,4209,4994,73874,17613,43167,13094,R
2000,NV,Nevada,1998257,10474,129,860,0,4543,4942,74823,17526,44125,13172,R
2001,NV,Nevada,2097722,12359,180,883,0,4932,6364,77486,17711,45073,14702,R
2002,NV,Nevada,2167455,13856,181,928,0,5118,7629,83896,18951,47459,17486,R
2003,NV,Nevada,2242207,13813,197,871,0,5225,7520,96128,21958,53321,20849,R
2004,NV,Nevada,2332898,14379,172,954,0,4905,8348,98215,23142,52438,22635,R
2005,NV,Nevada,2412301,14654,206,1016,0,4702,8730,102424,23481,52012,26931,R
2006,NV,Nevada,2495529,18687,226,1092,0,7038,10331,102338,24902,50429,27007,R
2007,NV,Nevada,2565382,19365,193,1096,0,6938,11138,97118,24911,49844,22363,R
2008,NV,Nevada,2600167,18973,165,1106,0,6486,11216,90006,24254,49814,15938,R
2009,NV,Nevada,2643085,18639,156,1024,0,6028,11431,80976,22115,46463,12398,R
2010,NV,Nevada,2704283,17929,158,965,0,5298,11508,75004,22286,42533,10185,R
2011,NV,Nevada,2720028,15452,139,913,0,4308,10092,70075,20342,40156,9577,R
2012,NV,Nevada,2754354,16763,124,931,0,4918,10790,77510,22120,45372,10018,R
2013,NV,Nevada,2791494,16888,163,0,1482,5183,10060,79177,23047,46132,9998,R
2014,NV,Nevada,2838281,18043,170,0,1357,5954,10562,74574,21924,42466,10184,R
2015,NV,Nevada,2883758,20118,178,0,1688,6287,11965,77137,22360,43426,11351,R
2016,NV,Nevada,2939254,19924,228,0,1729,6338,11629,75922,18816,43949,13157,R
2017,NV,Nevada,2972405,16663,266,0,1896,4841,9660,78320,20049,45459,12812,R
2018,NV,Nevada,3027341,16715,202,0,2329,3862,10322,73998,17741,44341,11916,R
2019,NV,     Nevada,3090771,15334,144,0,2155,3289,9746,72028,15630,45127,11271,D
2020,NV,     Nevada,3138259,14445,180,0,1851,2785,9629,60462,11574,38332,10556,D
1979,NY,New York,17649000,161906,2092,5394,0,93471,60949,933234,308302,500589,124343,D
1980,NY,New York,17506690,180235,2228,5405,0,112273,60329,1029749,360925,535783,133041,D
1981,NY,New York,17594000,188178,2166,5479,0,120344,60189,1026757,350422,539486,136849,D
1982,NY,New York,17659000,174833,2013,5159,0,107843,59818,967369,295245,534244,137880,D
1983,NY,New York,17667000,161489,1958,5296,0,94783,59452,881322,249115,504346,127861,D
1984,NY,New York,17735000,162157,1786,5599,0,89900,64872,826969,222956,488621,115392,D
1985,NY,New York,17783000,165365,1683,5706,0,89706,68270,828446,219633,502276,106537,D
1986,NY,New York,17772000,175210,1907,5415,0,91360,76528,849827,217010,519570,113247,D
1987,NY,New York,17825000,179691,2016,5537,0,89721,82417,881330,216826,539175,125329,D
1988,NY,New York,17898000,196396,2244,5479,0,97434,91239,932845,218060,560887,153898,D
1989,NY,New York,17950000,203042,2246,5242,0,103983,91571,926596,211130,544459,171007,D
1990,NY,New York,17990455,212458,2605,5368,0,112380,92105,932416,208813,536012,187591,D
1991,NY,New York,18058000,210184,2571,5085,0,112342,90186,917467,204499,531681,181287,D
1992,NY,New York,18119000,203311,2397,5152,0,108154,87608,858178,193548,495708,168922,D
1993,NY,New York,18197000,195352,2420,5008,0,102122,85802,814824,181709,481166,151949,D
1994,NY,New York,18169000,175433,2016,4700,0,86617,82100,745845,164650,452322,128873,D
1995,NY,New York,18136000,152683,1550,4290,0,72492,74351,674342,146562,425184,102596,R
1996,NY,New York,18185000,132206,1353,4174,0,61822,64857,619250,129828,399522,89900,R
1997,NY,New York,18137000,124890,1093,4075,0,56094,63628,584438,118306,386435,79697,R
1998,NY,New York,18175000,115915,924,3843,0,49125,62023,536287,104821,363295,68171,R
1999,NY,New York,18196601,107147,903,3563,0,43821,58860,489596,93217,338118,58261,R
2000,NY,New York,18976457,105111,952,3530,0,40539,60090,483078,87946,340901,54231,R
2001,NY,New York,19084350,98022,960,3546,0,36555,56961,458003,80400,329316,48287,R
2002,NY,New York,19134293,95030,909,3885,0,36653,53583,442091,76700,318025,47366,R
2003,NY,New York,19212425,89486,934,3775,0,35790,48987,432079,75453,311422,45204,R
2004,NY,New York,19280727,84914,889,3608,0,33506,46911,422734,70696,311036,41002,R
2005,NY,New York,19315721,85839,874,3636,0,35179,46150,405990,68034,302220,35736,R
2006,NY,New York,19306183,84016,922,3168,0,34459,45467,398577,68617,297827,32133,R
2007,NY,New York,19297729,79962,805,2928,0,31085,45144,383624,64914,290681,28029,D
2008,NY,New York,19490297,77546,836,2798,0,31787,42125,388599,65544,297962,25093,D
2009,NY,New York,19541453,75110,781,2582,0,28141,43606,377537,62769,292897,21871,D
2010,NY,New York,19395206,76492,868,2797,0,28630,44197,379710,65839,293232,20639,D
2011,NY,New York,19501616,77463,769,2751,0,28405,45538,371837,65227,287361,19249,D
2012,NY,New York,19576125,79535,683,2837,0,28633,47382,375268,64389,293562,17317,D
2013,NY,New York,19695680,77563,644,0,3548,27241,46130,358603,56444,286676,15483,D
2014,NY,New York,19748858,75972,616,0,6025,24036,45295,339113,50738,272624,15751,D
2015,NY,New York,19747183,75126,613,0,6141,23879,44493,317225,44117,257837,15271,D
2016,NY,New York,19836286,74315,629,0,6281,22310,45095,305224,39850,250990,14384,D
2017,NY,New York,19590719,70746,550,0,6297,20122,43777,293390,34928,245093,13369,D
2018,NY,New York,19530351,68512,562,0,6577,18191,43182,281543,31158,237243,13142,D
2019,NY,     New York,19463131,70260,565,0,6642,18165,44888,269787,28065,228672,13050,D
2020,NY,     New York,19336776,70339,808,0,5468,17525,46538,272788,32003,221129,19656,D
1979,OH,Ohio,10731000,49092,865,3409,0,20909,23909,501389,138128,316162,47099,R
1980,OH,Ohio,10766808,53646,871,3696,0,24082,24997,531141,157874,327322,45945,R
1981,OH,Ohio,10776000,53509,799,3339,0,25529,23842,533498,160951,326770,45777,R
1982,OH,Ohio,10791000,47126,676,3223,0,19809,23418,485468,141316,302962,41190,R
1983,OH,Ohio,10746000,42759,600,3387,0,17132,21640,441362,124179,280156,37027,D
1984,OH,Ohio,10752000,41430,551,3734,0,15656,21489,418011,112887,266148,38976,D
1985,OH,Ohio,10744000,41000,554,3966,0,14301,22179,408882,104920,266066,37896,D
1986,OH,Ohio,10752000,45260,595,4151,0,15283,25231,423387,106212,276779,40396,D
1987,OH,Ohio,10784000,45436,630,4305,0,16511,23990,447964,114580,292093,41291,D
1988,OH,Ohio,10872000,49144,585,4632,0,17546,26381,455890,112130,300355,43405,D
1989,OH,Ohio,10907000,51109,652,4872,0,18635,26950,465143,111057,306609,47477,D
1990,OH,Ohio,10847115,54904,663,5075,0,20451,28715,470469,106575,310673,53221,D
1991,OH,Ohio,10939000,61460,783,5748,0,23536,31393,489100,115423,318933,54744,R
1992,OH,Ohio,11016000,57935,724,5739,0,21925,29547,456017,104357,299774,51886,R
1993,OH,Ohio,11091000,55915,667,5444,0,21373,28431,441550,97394,295880,48276,R
1994,OH,Ohio,11102000,53930,662,5231,0,20821,27216,441380,96175,297792,47413,R
1995,OH,Ohio,11151000,53799,600,4835,0,19931,28433,437424,93539,297624,46261,R
1996,OH,Ohio,11173000,47896,538,4617,0,18336,24405,449935,93336,311071,45528,R
1997,OH,Ohio,11186000,48706,523,4566,0,17755,25862,455799,94972,315908,45419,R
1998,OH,Ohio,11209000,40628,443,4543,0,14960,20682,444438,90805,310612,43021,R
1999,OH,Ohio,11256654,35616,397,4129,0,14405,16685,414264,87023,288049,39192,R
2000,OH,Ohio,11353140,37935,418,4271,0,15610,17636,420939,88636,293277,39026,R
2001,OH,Ohio,11389785,40023,452,4466,0,17199,17906,435115,96910,295976,42229,R
2002,OH,Ohio,11408699,40128,526,4809,0,17871,16922,428976,99164,287045,42767,R
2003,OH,Ohio,11437680,38185,526,4660,0,16895,16104,417483,95083,281383,41017,R
2004,OH,Ohio,11450143,38787,506,4744,0,17429,16108,419337,96518,282168,40651,R
2005,OH,Ohio,11470685,40162,590,4671,0,18673,16228,420705,100183,279051,41471,R
2006,OH,Ohio,11478006,41491,560,4770,0,19418,16743,423334,105639,279718,37977,R
2007,OH,Ohio,11466917,40759,529,4661,0,18351,17218,397681,99049,264677,33955,D
2008,OH,Ohio,11485910,40436,547,4531,0,18706,16652,391667,102428,260788,28451,D
2009,OH,Ohio,11542645,38305,527,4119,0,17670,15989,376446,104009,249777,22660,D
2010,OH,Ohio,11537968,36306,479,3730,0,16486,15611,376836,107125,248581,21130,D
2011,OH,Ohio,11541007,35218,500,3679,0,15991,15048,380572,112901,246744,20927,R
2012,OH,Ohio,11553031,34827,478,3813,0,15396,15140,370435,105312,245372,19751,R
2013,OH,Ohio,11572005,33722,478,0,4391,14483,14370,338414,91090,227799,19525,R
2014,OH,Ohio,11596998,33130,464,0,5228,12780,14658,322517,79466,224942,18109,R
2015,OH,Ohio,11605090,34373,522,0,5441,12617,15793,303743,69994,216354,17395,R
2016,OH,Ohio,11622554,35759,683,0,5754,12574,16748,300945,67081,214102,19762,R
2017,OH,Ohio,11664129,34621,741,0,5833,11224,16823,280557,57521,202320,20716,R
2018,OH,Ohio,11676341,34426,596,0,5852,9608,18370,257848,49456,188433,19959,R
2019,OH,     Ohio,11696507,34618,584,0,5850,8861,19323,240540,44232,177610,18698,R
2020,OH,     Ohio,11693217,36104,820,0,5052,7826,22406,216363,37279,159007,20077,R
1979,OK,Oklahoma,2892000,11719,281,953,0,2966,7519,124293,42646,69292,12355,D
1980,OK,Oklahoma,3001252,12589,299,1088,0,3147,8055,139061,50802,75649,12610,D
1981,OK,Oklahoma,3098000,13223,279,1091,0,3574,8279,136637,49220,74460,12957,D
1982,OK,Oklahoma,3177000,14103,344,1180,0,4218,8361,151814,50956,85326,15532,D
1983,OK,Oklahoma,3298000,13964,249,1247,0,4245,8223,148599,49782,84085,14732,D
1984,OK,Oklahoma,3298000,13438,258,1315,0,3668,8197,147917,47979,84844,15094,D
1985,OK,Oklahoma,3301000,13930,254,1252,0,3526,8898,165150,53216,93233,18701,D
1986,OK,Oklahoma,3305000,14423,269,1202,0,3521,9431,184342,59054,103832,21456,D
1987,OK,Oklahoma,3272000,13664,244,1173,0,3583,8664,183495,58333,105369,19793,R
1988,OK,Oklahoma,3263000,14179,243,1229,0,3428,9279,168194,53624,96418,18152,R
1989,OK,Oklahoma,3224000,15847,210,1209,0,4070,10358,161558,50411,92270,18877,R
1990,OK,Oklahoma,3145585,17222,253,1479,0,3836,11654,158889,45531,94432,18926,R
1991,OK,Oklahoma,3175000,18533,230,1615,0,4094,12594,161449,46934,96842,17673,D
1992,OK,Oklahoma,3212000,20005,210,1556,0,4376,13863,154459,43678,94180,16601,D
1993,OK,Oklahoma,3231000,20512,273,1592,0,3935,14712,150546,39903,95111,15532,D
1994,OK,Oklahoma,3258000,21225,226,1616,0,4174,15209,160250,40764,104025,15461,D
1995,OK,Oklahoma,3278000,21770,400,1461,0,3788,16121,161693,41694,103727,16272,R
1996,OK,Oklahoma,3301000,19710,223,1545,0,3519,14423,166892,41447,109506,15939,R
1997,OK,Oklahoma,3317000,18560,229,1517,0,3446,13368,163698,40015,109039,14644,R
1998,OK,Oklahoma,3347000,18053,204,1513,0,3078,13258,149426,38268,97593,13565,R
1999,OK,Oklahoma,3358044,17066,231,1375,0,2785,12675,140220,34472,93616,12132,R
2000,OK,Oklahoma,3450654,17177,182,1422,0,2615,12958,140125,31661,96116,12348,R
2001,OK,Oklahoma,3469577,17726,185,1486,0,2746,13309,141679,34573,94537,12569,R
2002,OK,Oklahoma,3489700,17587,163,1573,0,2966,12885,148128,35171,100185,12772,R
2003,OK,Oklahoma,3506469,17758,206,1501,0,3224,12827,151208,34846,103404,12958,D
2004,OK,Oklahoma,3523546,17635,186,1557,0,3090,12802,149472,35244,101271,12957,D
2005,OK,Oklahoma,3543442,18044,187,1481,0,3230,13146,143406,35692,93814,13900,D
2006,OK,Oklahoma,3579212,17905,210,1488,0,3145,13062,129728,34437,81853,13438,D
2007,OK,Oklahoma,3617316,18234,224,1565,0,3392,13053,128714,34367,80747,13600,D
2008,OK,Oklahoma,3642361,19359,215,1471,0,3698,13975,126535,35247,80265,11023,D
2009,OK,Oklahoma,3687050,18560,234,1535,0,3358,13433,132350,38071,83813,10466,D
2010,OK,Oklahoma,3760184,18100,195,1469,0,3345,13091,129464,37848,81303,10313,D
2011,OK,Oklahoma,3784163,17311,212,1410,0,3288,12401,127618,36462,80064,11092,R
2012,OK,Oklahoma,3815780,18102,220,1622,0,3248,13012,130969,36094,83131,11744,R
2013,OK,Oklahoma,3853118,17187,198,0,2314,3023,11652,126418,33512,81624,11282,R
2014,OK,Oklahoma,3879610,16052,180,0,1862,3073,10937,117445,29963,76719,10763,R
2015,OK,Oklahoma,3907414,16746,240,0,1953,3018,11535,114055,28783,74678,10594,R
2016,OK,Oklahoma,3921207,17855,247,0,2100,3174,12334,118010,29376,76358,12276,R
2017,OK,Oklahoma,3932640,17989,243,0,2220,3007,12519,113611,28749,72546,12316,R
2018,OK,Oklahoma,3940235,18701,215,0,2431,2805,13250,114395,27178,73799,13418,R
2019,OK,     Oklahoma,3960676,17279,275,0,2363,2383,12258,113504,26820,73199,13485,R
2020,OK,     Oklahoma,3980783,18255,296,0,2102,2351,13506,107705,24415,68243,15047,R
1979,OR,Oregon,2527000,13781,107,1121,0,3299,9254,147264,40682,96823,9759,R
1980,OR,Oregon,2610477,12802,132,1084,0,3978,7608,161759,45641,106712,9406,R
1981,OR,Oregon,2647000,12671,117,1105,0,4780,6669,173596,52067,112518,9011,R
1982,OR,Oregon,2649000,12529,136,1057,0,4433,6903,161444,47410,106061,7973,R
1983,OR,Oregon,2662000,12986,109,1078,0,4533,7266,153412,46472,98880,8060,R
1984,OR,Oregon,2674000,13533,128,1201,0,4508,7696,153423,48755,96742,7926,R
1985,OR,Oregon,2687000,14807,125,1363,0,4986,8333,166023,50690,105725,9608,R
1986,OR,Oregon,2698000,14830,178,1379,0,5555,7718,176207,53062,112312,10833,R
1987,OR,Oregon,2724000,14697,153,1247,0,5338,7959,175138,48562,113907,12669,D
1988,OR,Oregon,2741000,14959,139,1111,0,5289,8420,178520,48355,113872,16293,D
1989,OR,Oregon,2820000,14625,134,1314,0,4282,8895,159119,40197,103690,15232,D
1990,OR,Oregon,2842321,14405,108,1332,0,4102,8863,146073,32273,100765,13035,D
1991,OR,Oregon,2922000,14795,133,1561,0,4387,8714,153370,34363,105145,13862,D
1992,OR,Oregon,2977000,15189,139,1580,0,4507,8963,158100,32945,109274,15881,D
1993,OR,Oregon,3032000,15254,140,1554,0,3930,9630,159558,31072,110878,17608,D
1994,OR,Oregon,3086000,16067,150,1333,0,4264,10320,178240,33970,122506,21764,D
1995,OR,Oregon,3141000,16408,129,1309,0,4332,10638,189765,34640,133075,22050,D
1996,OR,Oregon,3204000,14837,129,1272,0,3914,9522,177295,31664,128618,17013,D
1997,OR,Oregon,3243000,14412,95,1306,0,3811,9200,188916,33507,136129,19280,D
1998,OR,Oregon,3282000,13778,126,1307,0,3452,8893,171545,30442,123841,17262,D
1999,OR,Oregon,3316154,12432,88,1219,0,2858,8267,153434,26749,113052,13633,D
2000,OR,Oregon,3421399,12000,70,1286,0,2888,7756,153780,25618,114230,13932,D
2001,OR,Oregon,3473441,10650,84,1174,0,2749,6643,164524,26648,123034,14842,D
2002,OR,Oregon,3520355,10298,72,1238,0,2742,6246,161145,25696,118925,16524,D
2003,OR,Oregon,3564330,10506,68,1218,0,2847,6373,169863,28562,122327,18974,D
2004,OR,Oregon,3591363,10724,90,1283,0,2751,6600,166475,30072,117868,18535,D
2005,OR,Oregon,3638871,10444,80,1266,0,2478,6620,160199,27621,113316,19262,D
2006,OR,Oregon,3700758,10534,88,1219,0,2711,6516,137858,24324,98897,14637,D
2007,OR,Oregon,3747455,11015,76,1276,0,2864,6799,132773,22979,95157,14637,D
2008,OR,Oregon,3790060,9909,87,1183,0,2656,5983,125169,21115,92677,11377,D
2009,OR,Oregon,3825657,9968,88,1202,0,2499,6179,114780,19739,85064,9977,D
2010,OR,Oregon,3838332,9648,96,1239,0,2421,5892,116657,20035,87494,9128,D
2011,OR,Oregon,3868229,9643,84,1239,0,2237,6083,121869,20704,92059,9106,D
2012,OR,Oregon,3899801,9638,91,1159,0,2419,5969,126417,22051,94114,10252,D
2013,OR,Oregon,3928068,9536,82,0,1464,2394,5596,125083,20808,94363,9912,D
2014,OR,Oregon,3971202,10294,84,0,1620,2270,6320,123142,18690,94177,10275,D
2015,OR,Oregon,4024634,10680,110,0,1650,2163,6757,119752,18541,90514,10697,D
2016,OR,Oregon,4085989,10983,116,0,1784,2307,6776,121716,16919,91507,13290,D
2017,OR,Oregon,4146592,11629,105,0,1992,2474,7058,122524,17415,88091,17018,D
2018,OR,Oregon,4181886,12146,86,0,2114,2515,7431,122401,16515,89191,16695,D
2019,OR,     Oregon,4216116,12382,117,0,1886,2329,8050,117567,15127,86922,15518,D
2020,OR,     Oregon,4241507,12380,125,0,1565,2180,8510,112782,14386,81811,16585,D
1979,PA,Pennsylvania,11731000,39133,724,2533,0,17855,18021,370914,109668,215567,45679,R
1980,PA,Pennsylvania,11824220,43032,809,2722,0,21039,18462,398761,122800,226496,49465,R
1981,PA,Pennsylvania,11864000,44104,729,2662,0,22137,18576,392872,122372,226701,43799,R
1982,PA,Pennsylvania,11865000,42767,678,2448,0,20806,18835,366903,106867,220623,39413,R
1983,PA,Pennsylvania,11895000,40782,583,2449,0,20501,17249,339321,96425,205408,37488,R
1984,PA,Pennsylvania,11901000,38154,538,2764,0,17656,17196,325960,88517,196999,40444,R
1985,PA,Pennsylvania,11853000,39240,550,2886,0,17429,18375,320788,87417,194467,38904,R
1986,PA,Pennsylvania,11889000,42629,659,2984,0,18085,20901,326149,87362,196657,42130,R
1987,PA,Pennsylvania,11936000,44087,642,3130,0,17241,23074,333476,86177,205619,41680,D
1988,PA,Pennsylvania,12027000,43534,660,2992,0,16607,23275,338486,83791,203362,51333,D
1989,PA,Pennsylvania,12040000,45586,753,2963,0,18025,23845,359008,85925,216566,56517,D
1990,PA,Pennsylvania,11881643,51213,801,3068,0,20930,26414,361805,86624,215119,60062,D
1991,PA,Pennsylvania,11961000,53824,758,3435,0,23191,26440,371814,86074,228142,57598,D
1992,PA,Pennsylvania,12009000,51276,746,3324,0,21701,25505,356155,75834,224150,56171,D
1993,PA,Pennsylvania,12048000,50295,823,3195,0,21563,24714,343841,70125,220683,53033,D
1994,PA,Pennsylvania,12052000,51425,712,3145,0,22497,25071,342901,66468,222280,54153,D
1995,PA,Pennsylvania,12072000,51586,755,3046,0,22858,24927,354623,67815,236991,49817,R
1996,PA,Pennsylvania,12056000,57905,686,3034,0,22784,31401,370851,71357,250758,48736,R
1997,PA,Pennsylvania,12020000,53140,705,3289,0,18788,30358,359323,68218,246892,44213,R
1998,PA,Pennsylvania,12001000,50470,633,3223,0,19787,26827,342318,63777,235873,42668,R
1999,PA,Pennsylvania,11994016,50431,592,3279,0,18670,27890,323021,56037,227750,39234,R
2000,PA,Pennsylvania,12281054,51584,602,3247,0,18155,29580,316274,54080,225869,36325,R
2001,PA,Pennsylvania,12303104,50432,651,3467,0,17500,28814,313408,54345,223350,35713,R
2002,PA,Pennsylvania,12328827,49578,624,3731,0,17163,28060,300868,55610,212441,32817,R
2003,PA,Pennsylvania,12370761,49210,647,3556,0,17980,27027,300639,53918,213279,33442,D
2004,PA,Pennsylvania,12394471,50998,650,3535,0,18474,28339,299611,54443,214199,30969,D
2005,PA,Pennsylvania,12405348,52761,756,3586,0,19214,29205,300444,56134,214916,29394,D
2006,PA,Pennsylvania,12440621,55028,741,3611,0,21095,29581,304589,57739,217142,29708,D
2007,PA,Pennsylvania,12432792,51806,725,3443,0,19440,28198,293850,56091,211248,26511,D
2008,PA,Pennsylvania,12448279,51044,705,3485,0,18873,27981,300294,58687,219115,22492,D
2009,PA,Pennsylvania,12604767,48188,664,3626,0,17504,26394,277182,54772,204588,17822,D
2010,PA,Pennsylvania,12717722,46612,653,3472,0,16375,26112,276366,55206,204440,16720,D
2011,PA,Pennsylvania,12743948,46189,639,3339,0,16165,26046,283442,57966,208604,16872,R
2012,PA,Pennsylvania,12764475,45384,707,3371,0,15735,25571,276562,57040,204409,15113,R
2013,PA,Pennsylvania,12781296,42825,611,0,3795,14739,23680,263176,52000,197410,13766,R
2014,PA,Pennsylvania,12793767,40298,610,0,3839,13545,22304,246982,45718,188211,13053,R
2015,PA,Pennsylvania,12791904,40348,665,0,4299,12965,22419,231941,39573,180236,12132,D
2016,PA,Pennsylvania,12787085,40389,674,0,4459,12314,22942,222394,35178,174147,13069,D
2017,PA,Pennsylvania,12790447,40030,742,0,4216,11777,23295,210316,31925,165434,12957,D
2018,PA,Pennsylvania,12800922,39099,784,0,4490,9854,23971,190633,27054,150441,13138,D
2019,PA,     Pennsylvania,12798883,39160,676,0,4345,9749,24390,179670,23324,143937,12409,D
2020,PA,     Pennsylvania,12783254,49793,1009,0,4228,10728,33828,210167,31774,162919,15474,D
1979,RI,Rhode Island,929000,3485,30,141,0,1019,2295,50114,14400,28347,7367,D
1980,RI,Rhode Island,945835,3864,42,162,0,1122,2538,52249,16233,28037,7979,D
1981,RI,Rhode Island,952000,4205,40,170,0,1257,2738,51504,15755,27525,8224,D
1982,RI,Rhode Island,958000,3849,35,186,0,1099,2529,47539,13414,27077,7048,D
1983,RI,Rhode Island,955000,3392,26,160,0,1078,2128,44410,12722,25463,6225,D
1984,RI,Rhode Island,962000,3220,33,205,0,1091,1891,42706,11396,24654,6656,D
1985,RI,Rhode Island,968000,3355,35,253,0,1122,1945,42368,11929,24119,6320,R
1986,RI,Rhode Island,975000,3271,34,209,0,1157,1871,44528,12616,25041,6871,R
1987,RI,Rhode Island,986000,3547,35,241,0,1062,2209,48568,14208,26635,7725,R
1988,RI,Rhode Island,995000,3947,41,303,0,1146,2457,47837,12550,27049,8238,R
1989,RI,Rhode Island,998000,3772,49,266,0,1122,2335,48372,12045,27104,9223,R
1990,RI,Rhode Island,1003464,4334,48,248,0,1224,2814,49378,12755,27046,9577,R
1991,RI,Rhode Island,1004000,4638,37,310,0,1234,3057,45957,11320,26664,7973,D
1992,RI,Rhode Island,1005000,3965,36,311,0,950,2668,42044,10529,24052,7463,D
1993,RI,Rhode Island,1000000,4017,39,286,0,1011,2681,40973,10409,24101,6463,D
1994,RI,Rhode Island,997000,3744,41,273,0,870,2560,37323,9101,23039,5183,D
1995,RI,Rhode Island,990000,3643,33,267,0,914,2429,38378,9234,24780,4364,R
1996,RI,Rhode Island,990000,3437,25,287,0,824,2301,36099,8135,23367,4597,R
1997,RI,Rhode Island,987000,3292,25,363,0,707,2197,32777,7083,21499,4195,R
1998,RI,Rhode Island,988000,3084,24,351,0,659,2050,31672,6452,21391,3829,R
1999,RI,Rhode Island,990819,2840,36,391,0,788,1625,32657,6341,22284,4032,R
2000,RI,Rhode Island,1048319,3121,45,412,0,922,1742,33323,6620,22038,4665,R
2001,RI,Rhode Island,1059659,3278,39,416,0,986,1837,35742,6824,23875,5043,R
2002,RI,Rhode Island,1068326,3051,41,395,0,916,1699,35342,6415,24051,4876,R
2003,RI,Rhode Island,1076084,3074,25,505,0,830,1714,32231,5524,22320,4387,R
2004,RI,Rhode Island,1079916,2673,26,320,0,731,1596,31166,5465,21623,4078,R
2005,RI,Rhode Island,1073579,2710,34,323,0,776,1577,29287,5319,19567,4401,R
2006,RI,Rhode Island,1067610,2460,27,289,0,740,1404,27914,5453,18852,3609,R
2007,RI,Rhode Island,1057832,2424,19,258,0,760,1387,27576,5206,19175,3195,R
2008,RI,Rhode Island,1050788,2656,31,282,0,880,1463,29895,5766,20926,3203,R
2009,RI,Rhode Island,1053209,2678,32,296,0,785,1565,27558,5753,19403,2402,R
2010,RI,Rhode Island,1052528,2709,29,298,0,782,1600,26959,6124,18432,2403,R
2011,RI,Rhode Island,1050646,2586,20,319,0,744,1503,27976,6836,18765,2375,D
2012,RI,Rhode Island,1050304,2657,26,292,0,715,1614,27039,5929,18478,2632,D
2013,RI,Rhode Island,1053354,2710,31,0,449,683,1547,25741,5621,17881,2239,D
2014,RI,Rhode Island,1054907,2320,26,0,366,530,1398,22982,4830,16317,1835,D
2015,RI,Rhode Island,1055607,2565,31,0,467,547,1520,20038,3938,14714,1386,D
2016,RI,Rhode Island,1057566,2529,29,0,445,541,1514,18910,3650,14157,1103,D
2017,RI,Rhode Island,1056486,2474,21,0,454,474,1525,18585,3219,13882,1484,D
2018,RI,Rhode Island,1058287,2326,16,0,494,453,1363,17625,2817,13270,1538,D
2019,RI,     Rhode Island,1058158,2357,26,0,498,421,1412,16312,2321,12628,1363,D
2020,RI,     Rhode Island,1057125,2440,32,0,407,336,1665,13166,1763,9894,1509,D
1979,SC,South Carolina,2932000,19889,368,1006,0,3156,15359,128651,44160,75807,8684,D
1980,SC,South Carolina,3064557,20225,348,1148,0,3620,15109,146461,51177,85905,9379,D
1981,SC,South Carolina,3166000,20275,330,1148,0,3805,14992,148127,50520,88887,8720,D
1982,SC,South Carolina,3203000,23061,348,1242,0,3921,17550,148657,47752,92009,8896,D
1983,SC,South Carolina,3264000,20133,321,1144,0,3425,15243,135590,42263,85501,7826,D
1984,SC,South Carolina,3300000,20607,305,1329,0,3408,15565,133270,40646,84753,7871,D
1985,SC,South Carolina,3347000,21121,304,1385,0,3143,16289,140892,41955,90260,8677,D
1986,SC,South Carolina,3378000,22789,291,1395,0,3361,17742,150752,45276,96132,9344,D
1987,SC,South Carolina,3425000,22773,318,1497,0,3463,17495,154021,46511,97892,9618,R
1988,SC,South Carolina,3493000,25889,325,1493,0,4357,19714,163164,49467,103055,10642,R
1989,SC,South Carolina,3512000,28576,320,1632,0,4574,22050,168772,48914,107845,12013,R
1990,SC,South Carolina,3486703,34050,390,1873,0,5313,26474,176729,48132,115144,13453,R
1991,SC,South Carolina,3560000,34621,402,2098,0,6092,26029,185359,51793,119784,13782,R
1992,SC,South Carolina,3603000,34029,373,2072,0,6148,25436,178298,49669,116186,12443,R
1993,SC,South Carolina,3643000,37281,377,1905,0,6825,28174,177779,47695,117553,12531,R
1994,SC,South Carolina,3664000,37756,353,1991,0,6817,28595,182114,46678,122252,13184,R
1995,SC,South Carolina,3673000,36067,292,1737,0,6461,27577,186656,46083,126416,14157,R
1996,SC,South Carolina,3699000,36875,332,1821,0,6361,28361,192986,47487,129650,15849,R
1997,SC,South Carolina,3760000,37235,314,1837,0,6624,28460,193402,46322,131325,15755,R
1998,SC,South Carolina,3836000,34647,306,1753,0,5943,26645,186960,44600,126412,15948,R
1999,SC,South Carolina,3885736,32920,258,1587,0,5760,25315,173987,39630,119912,14445,D
